theta_1_t,d_theta_1_t,q_1_t,theta_2_t,d_theta_2_t,q_2_t
-0.000988333,0,-2.44042e-05,-1.19727,-2.13113,1.21251
-0.000988333,0,-2.44042e-05,-1.2039,-2.16311,1.21874
-0.000988333,0,-2.44042e-05,-1.20983,-2.05844,1.22504
-0.000988333,0,-3.63884e-05,-1.21666,-2.04391,1.23143
-0.000988333,0,-2.44042e-05,-1.22277,-2.01193,1.23785
-0.000988333,0,-3.63884e-05,-1.22852,-2.07589,1.24408
-0.000988333,0,-3.63884e-05,-1.23472,-2.07589,1.25023
-0.000988333,0,-3.63884e-05,-1.24129,-2.01193,1.25631
-0.000988333,0,-4.83727e-05,-1.24638,-2.06717,1.26253
-0.000988333,0,-2.44042e-05,-1.25338,-2.11369,1.26876
-0.000988333,0,-3.63884e-05,-1.25917,-2.10787,1.27487
-0.000988333,0,-3.63884e-05,-1.26554,-2.04391,1.28097
-0.000988333,0,-3.63884e-05,-1.27187,-1.9218,1.28715
-0.000988333,0,-3.63884e-05,-1.27775,-1.97994,1.29327
-0.000988333,0,-2.44042e-05,-1.28394,-1.98576,1.29931
-0.000988333,0,-3.63884e-05,-1.28967,-1.87528,1.3053
-0.000988333,0,-3.63884e-05,-1.29612,-1.89854,1.31123
-0.000988333,0,-2.44042e-05,-1.30138,-1.99448,1.3172
-0.000988333,0,-3.63884e-05,-1.30752,-1.9625,1.32316
-0.000988333,0,-3.63884e-05,-1.31301,-1.99448,1.32905
-0.000988333,0,-2.44042e-05,-1.31897,-1.93924,1.3349
-0.000988333,0,-3.63884e-05,-1.32502,-1.93052,1.34075
-0.000988333,0,-3.63884e-05,-1.3304,-1.98576,1.34652
-0.000988333,0,-3.63884e-05,-1.33642,-1.97122,1.35228
-0.000988333,0,-4.83727e-05,-1.34255,-1.8433,1.35805
-0.000988333,0,-2.44042e-05,-1.34816,-1.82004,1.36381
-0.000988333,0,-4.83727e-05,-1.35363,-1.8433,1.3695
-0.000988333,0,-3.63884e-05,-1.35994,-1.93924,1.3751
-0.000988333,0,-3.63884e-05,-1.36546,-1.82585,1.3807
-0.000988333,0,-3.63884e-05,-1.37105,-1.78806,1.3863
-0.000988333,0,-3.63884e-05,-1.37642,-1.78806,1.39185
-0.000988333,0,-3.63884e-05,-1.38157,-1.884,1.39751
-0.000988333,0,-3.63884e-05,-1.38791,-1.97994,1.40299
-0.000988333,0,-3.63884e-05,-1.39256,-1.85783,1.40856
-0.000988333,0,-3.63884e-05,-1.39896,-1.79387,1.41407
-0.000988333,0,-2.44042e-05,-1.40413,-1.77933,1.41966
-0.000988333,0,-3.63884e-05,-1.40971,-1.8433,1.42515
-0.000988333,0,-2.44042e-05,-1.41524,-1.82585,1.4305
-0.000988333,0,-3.63884e-05,-1.42097,-1.72409,1.43593
-0.000988333,0,-3.63884e-05,-1.42643,-1.65141,1.44131
-0.000988333,0,-3.63884e-05,-1.43076,-1.66013,1.44664
-0.000988333,0,-3.63884e-05,-1.43571,-1.71537,1.45199
-0.000988333,0,-3.63884e-05,-1.44082,-1.80259,1.45732
-0.000988333,0,-3.63884e-05,-1.44661,-1.72409,1.46266
-0.000988333,0,-3.63884e-05,-1.45184,-1.66885,1.46782
-0.000988333,0,-3.63884e-05,-1.45623,-1.67467,1.47305
-0.000988333,0,-2.44042e-05,-1.46167,-1.77061,1.47826
-0.000988333,0,-3.63884e-05,-1.4674,-1.82585,1.48343
-0.000988333,0,-3.63884e-05,-1.47217,-1.72409,1.48848
-0.000988333,0,-3.63884e-05,-1.47766,-1.63687,1.4935
